search_order,candidate_video_frame_index,candidate_video_time_s,candidate_video_time,distance_from_anchor_s,aggregate_score,center_score,min_window_score,pad_geometry_mean,masked_visual_mean,full_visual_mean,center_pad_geometry_score,center_pad_center_error_px,center_pad_center_error_ratio,center_pad_radius_error_ratio,center_pad_ring_iou,center_pad_thermal_circle_rank,video_circle_source,video_circle_confidence,video_circle_partial,video_circle_smoothed,thermal_circle_confirmed,manual_circle_source,selected_rank,geometry_hard_pass,aggregation,strategy_rank,evaluated_strategy_count,candidate_strategy_count,circle_filter_applied,min_circle_alignment,transform_type,spatial_score,crop_x,crop_y,crop_w,crop_h,thermal_edge_density,video_edge_density,base_similarity,circle_alignment,pad_center_error_px,pad_center_error_ratio,pad_radius_error_ratio,pad_ring_iou,pad_geometry_score,pad_geometry_hard_pass,pad_thermal_circle_rank,keypoint_matches,keypoint_inliers,source_tiff,score_tiff_m2,score_tiff_m1,score_tiff_p0,score_tiff_p1,score_tiff_p2,rank
23,14797,493.23333333333335,00:08:13.233,-0.7666666666666515,0.5981031994689656,0.8723508001581766,0.1128782038370819,0.667060934787711,0.6882938504219055,0.6016705155372619,0.9697456843143759,0.16581352406208943,0.002674411678420797,0.03101814355326161,0.9341803140468992,6,arc_fit,0.601868719451015,False,False,True,manual_coordinates,6,True,mean,9,15,182,True,0.5,crop_resize,0.9697456843143759,1132,736,1471,1201,0.5830965909090909,0.5285781926406926,0.0,0.9697456843143759,0.16581352406208943,0.002674411678420797,0.03101814355326161,0.9341803140468992,0.9697456843143759,True,1,0,0,raw/thermal/20260226_023322.tiff,0.6364893195904509,0.1128782038370819,0.8723508001581766,0.549133778493868,0.8196638952652509,1
24,14798,493.26666666666665,00:08:13.267,-0.7333333333333485,0.5747703593584534,0.8708368941329658,0.11473306087744137,0.6324105816312555,0.6898839622735977,0.600723272562027,0.9701410565135937,0.12681602412407936,0.002045419743936764,0.03099202697407898,0.9347786052481477,6,arc_fit,0.603817003567862,False,False,True,manual_coordinates,6,True,mean,8,15,182,True,0.5,crop_resize,0.9701410565135937,1110,736,1514,1187,0.5830965909090909,0.5237418831168831,0.0,0.9701410565135937,0.12681602412407936,0.002045419743936764,0.03099202697407898,0.9347786052481477,0.9701410565135937,True,1,0,0,raw/thermal/20260226_023322.tiff,0.6915796119035115,0.11473306087744137,0.8708368941329658,0.6879064814675736,0.5087957484107746,2
22,14796,493.2,00:08:13.200,-0.8000000000000114,0.3992459760253144,0.8675950866345191,0.10996187405725324,0.5738399591164898,0.6724607795476913,0.5978244602680206,0.9709640850476156,0.16286630920268158,0.002626875954881961,0.030919828721595207,0.9346173104770122,6,arc_fit,0.5862542916533978,False,False,True,manual_coordinates,6,True,mean,7,15,182,True,0.5,crop_resize,0.9709640850476156,1116,747,1482,1186,0.5830965909090909,0.5273944805194806,0.0,0.9709640850476156,0.16286630920268158,0.002626875954881961,0.030919828721595207,0.9346173104770122,0.9709640850476156,True,1,0,0,raw/thermal/20260226_023322.tiff,0.10996187405725324,0.11167363778610864,0.8675950866345191,0.11444388534685285,0.7925553963018384,3
28,14802,493.4,00:08:13.400,-0.6000000000000227,0.37633343680547526,0.8713230583916345,0.09776411592592765,0.5223247555730133,0.6394010424613953,0.5882996797561646,0.973422774343955,0.14150640837311815,0.0022823614253728733,0.029028245499575295,0.9422895487001538,6,arc_fit,0.6034711143109823,False,False,True,manual_coordinates,6,True,mean,5,15,182,True,0.5,crop_resize,0.973422774343955,1038,727,1626,1275,0.5830965909090909,0.532907196969697,0.0,0.973422774343955,0.14150640837311815,0.0022823614253728733,0.029028245499575295,0.9422895487001538,0.973422774343955,True,1,0,0,raw/thermal/20260226_023322.tiff,0.7072476541224942,0.10417838173605844,0.8713230583916345,0.09776411592592765,0.10115397385126165,4
4,14778,492.6,00:08:12.600,-1.3999999999999773,0.36944927502877134,0.8714166435415476,0.10222327636984622,0.5144404374048596,0.6631589144468307,0.5830295532941818,0.9699582966191539,0.17500051880514886,0.0028225890129862717,0.030827205790707753,0.9348113202202344,6,arc_fit,0.5978948366743104,False,False,True,manual_coordinates,6,True,mean,7,15,182,True,0.5,crop_resize,0.9699582966191539,1143,766,1375,1123,0.5830965909090909,0.5139001623376623,0.0,0.9699582966191539,0.17500051880514886,0.0028225890129862717,0.030827205790707753,0.9348113202202344,0.9699582966191539,True,1,0,0,raw/thermal/20260226_023322.tiff,0.10433730529998511,0.10848890703935737,0.8714166435415476,0.6607802428931203,0.10222327636984622,5
31,14805,493.5,00:08:13.500,-0.5,0.36204695636653056,0.8728824895169145,0.10690831299663764,0.5208671259704407,0.6503008365631103,0.5819070756435394,0.970760043469118,0.1866186529170971,0.0030099782728564045,0.030898795794363932,0.9343429320153491,6,arc_fit,0.6014458288540464,False,False,True,manual_coordinates,6,True,mean,7,15,182,True,0.5,crop_resize,0.970760043469118,1074,747,1531,1225,0.5830965909090909,0.53125,0.0,0.970760043469118,0.1866186529170971,0.0030099782728564045,0.030898795794363932,0.9343429320153491,0.970760043469118,True,1,0,0,raw/thermal/20260226_023322.tiff,0.10993551335105486,0.10690831299663764,0.8728824895169145,0.11196049401795341,0.6085479719500921,6
54,14828,494.26666666666665,00:08:14.267,0.2666666666666515,0.3539073505900127,0.8909144352862184,0.11130797696487353,0.5087905501935672,0.6593888223171234,0.6030597567558289,0.9982367954176121,0.16877270595340652,0.002722140418603331,0.00010996096714891686,0.9986826867900415,6,arc_fit,0.6132742066567989,False,False,True,manual_coordinates,6,True,mean,3,15,182,True,0.5,crop_resize,0.9982367954176121,918,668,1760,1381,0.5830965909090909,0.5570549242424242,0.0,0.9982367954176121,0.16877270595340652,0.002722140418603331,0.00010996096714891686,0.9986826867900415,0.9982367954176121,True,1,0,0,raw/thermal/20260226_023322.tiff,0.11130797696487353,0.11257272187640813,0.8909144352862184,0.11271878164316798,0.5420228371793955,7
30,14804,493.46666666666664,00:08:13.467,-0.5333333333333599,0.3515870171531315,0.88961748586839,0.10941014855414963,0.5066793176327022,0.6578147292137146,0.5879575341939927,0.9973550432270238,0.2405665321174693,0.003880105356733376,0.0001337451340707998,0.9973258565778027,6,arc_fit,0.6067402320062978,False,False,True,manual_coordinates,6,True,mean,3,15,182,True,0.5,crop_resize,0.9973550432270238,1046,740,1592,1249,0.5830965909090909,0.5491071428571429,0.0,0.9973550432270238,0.2405665321174693,0.003880105356733376,0.0001337451340707998,0.9973258565778027,0.9973550432270238,True,1,0,0,raw/thermal/20260226_023322.tiff,0.11591512892107084,0.10941014855414963,0.88961748586839,0.10968134757636765,0.5333109748456794,8
5,14779,492.6333333333333,00:08:12.633,-1.3666666666666742,0.3509322807590098,0.8722514802556488,0.10388109438097957,0.48797569732236334,0.6672671526670456,0.5818017065525055,0.9707073170926712,0.11904722517511496,0.0019201165350824993,0.030718740900387193,0.9359566969577561,6,arc_fit,0.5952168262438974,False,False,True,manual_coordinates,6,True,mean,8,15,182,True,0.5,crop_resize,0.9707073170926712,1112,773,1409,1105,0.5830965909090909,0.5147794913419913,0.0,0.9707073170926712,0.11904722517511496,0.0019201165350824993,0.030718740900387193,0.9359566969577561,0.9707073170926712,True,1,0,0,raw/thermal/20260226_023322.tiff,0.10388109438097957,0.11098420041143611,0.8722514802556488,0.5636617880018365,0.10388284074514814,9
32,14806,493.53333333333336,00:08:13.533,-0.46666666666664014,0.3453636052394276,0.8698841128052537,0.10917523902893242,0.4973177502864541,0.6557379484176635,0.5856418013572693,0.9695452915248601,0.20086500020126222,0.0032397580677622937,0.030958715441638647,0.9338640222406899,6,arc_fit,0.6007389943013346,False,False,True,manual_coordinates,6,True,mean,8,15,182,True,0.5,crop_resize,0.9695452915248601,1044,744,1554,1219,0.5830965909090909,0.5220170454545454,0.0,0.9695452915248601,0.20086500020126222,0.0032397580677622937,0.030958715441638647,0.9338640222406899,0.9695452915248601,True,1,0,0,raw/thermal/20260226_023322.tiff,0.1115112408076781,0.10917523902893242,0.8698841128052537,0.11329951964157355,0.5229479139137001,10
