aligned_id,status,tiff_name,tiff_time_iso,video_time_s,video_time,video_frame_index,thermal_source_path,thermal_tiff_path,thermal_png_path,video_png_path,overlay_png_path,visual_score,thermal_edge_density,video_edge_density,anchor_segment,anchor_requested_video_time_s,anchor_requested_video_time,anchor_selected_video_time_s,anchor_selected_video_time,anchor_center_tiff,mask_80c_path,mask_positive_pixels,mask_positive_fraction
000001_20260226_030455,exported,20260226_030455.tiff,2026-02-26 03:04:55,287.5,00:04:47.500,8625,raw/thermal/20260226_030455.tiff,processed/aligned/000001_20260226_030455/thermal.tiff,processed/aligned/000001_20260226_030455/thermal.png,processed/aligned/000001_20260226_030455/video.png,processed/aligned/000001_20260226_030455/overlay.png,0.13749781693331897,0.0013580322265625,0.0423828125,primary,292.0,00:04:52,292.5,00:04:52.500,20260226_030500.tiff,processed/aligned/000001_20260226_030455/mask_80c.png,0,0.0
000002_20260226_030456,exported,20260226_030456.tiff,2026-02-26 03:04:56,288.5,00:04:48.500,8655,raw/thermal/20260226_030456.tiff,processed/aligned/000002_20260226_030456/thermal.tiff,processed/aligned/000002_20260226_030456/thermal.png,processed/aligned/000002_20260226_030456/video.png,processed/aligned/000002_20260226_030456/overlay.png,0.17054623924195766,0.0801513671875,0.065802001953125,primary,292.0,00:04:52,292.5,00:04:52.500,20260226_030500.tiff,processed/aligned/000002_20260226_030456/mask_80c.png,0,0.0
000003_20260226_030457,exported,20260226_030457.tiff,2026-02-26 03:04:57,289.5,00:04:49.500,8685,raw/thermal/20260226_030457.tiff,processed/aligned/000003_20260226_030457/thermal.tiff,processed/aligned/000003_20260226_030457/thermal.png,processed/aligned/000003_20260226_030457/video.png,processed/aligned/000003_20260226_030457/overlay.png,0.37550388276576996,0.1581878662109375,0.3700653076171875,primary,292.0,00:04:52,292.5,00:04:52.500,20260226_030500.tiff,processed/aligned/000003_20260226_030457/mask_80c.png,0,0.0
000004_20260226_030458,exported,20260226_030458.tiff,2026-02-26 03:04:58,290.5,00:04:50.500,8715,raw/thermal/20260226_030458.tiff,processed/aligned/000004_20260226_030458/thermal.tiff,processed/aligned/000004_20260226_030458/thermal.png,processed/aligned/000004_20260226_030458/video.png,processed/aligned/000004_20260226_030458/overlay.png,0.37612835317850113,0.15509033203125,0.441558837890625,primary,292.0,00:04:52,292.5,00:04:52.500,20260226_030500.tiff,processed/aligned/000004_20260226_030458/mask_80c.png,1,3.0517578125e-06
000005_20260226_030459,exported,20260226_030459.tiff,2026-02-26 03:04:59,291.5,00:04:51.500,8745,raw/thermal/20260226_030459.tiff,processed/aligned/000005_20260226_030459/thermal.tiff,processed/aligned/000005_20260226_030459/thermal.png,processed/aligned/000005_20260226_030459/video.png,processed/aligned/000005_20260226_030459/overlay.png,0.45380669832229614,0.28614501953125,0.4822906494140625,primary,292.0,00:04:52,292.5,00:04:52.500,20260226_030500.tiff,processed/aligned/000005_20260226_030459/mask_80c.png,0,0.0
000006_20260226_030500,exported,20260226_030500.tiff,2026-02-26 03:05:00,292.5,00:04:52.500,8775,raw/thermal/20260226_030500.tiff,processed/aligned/000006_20260226_030500/thermal.tiff,processed/aligned/000006_20260226_030500/thermal.png,processed/aligned/000006_20260226_030500/video.png,processed/aligned/000006_20260226_030500/overlay.png,0.42241333425045013,0.2223358154296875,0.46409912109375,primary,292.0,00:04:52,292.5,00:04:52.500,20260226_030500.tiff,processed/aligned/000006_20260226_030500/mask_80c.png,0,0.0
000007_20260226_030501,exported,20260226_030501.tiff,2026-02-26 03:05:01,293.5,00:04:53.500,8805,raw/thermal/20260226_030501.tiff,processed/aligned/000007_20260226_030501/thermal.tiff,processed/aligned/000007_20260226_030501/thermal.png,processed/aligned/000007_20260226_030501/video.png,processed/aligned/000007_20260226_030501/overlay.png,0.40231481939554214,0.2623260498046875,0.3513458251953125,primary,292.0,00:04:52,292.5,00:04:52.500,20260226_030500.tiff,processed/aligned/000007_20260226_030501/mask_80c.png,0,0.0
000008_20260226_030502,exported,20260226_030502.tiff,2026-02-26 03:05:02,294.5,00:04:54.500,8835,raw/thermal/20260226_030502.tiff,processed/aligned/000008_20260226_030502/thermal.tiff,processed/aligned/000008_20260226_030502/thermal.png,processed/aligned/000008_20260226_030502/video.png,processed/aligned/000008_20260226_030502/overlay.png,0.3599725067615509,0.2417205810546875,0.241241455078125,primary,292.0,00:04:52,292.5,00:04:52.500,20260226_030500.tiff,processed/aligned/000008_20260226_030502/mask_80c.png,11,3.35693359375e-05
000009_20260226_030503,exported,20260226_030503.tiff,2026-02-26 03:05:03,295.5,00:04:55.500,8865,raw/thermal/20260226_030503.tiff,processed/aligned/000009_20260226_030503/thermal.tiff,processed/aligned/000009_20260226_030503/thermal.png,processed/aligned/000009_20260226_030503/video.png,processed/aligned/000009_20260226_030503/overlay.png,0.30201825872063637,0.146502685546875,0.1922637939453125,primary,292.0,00:04:52,292.5,00:04:52.500,20260226_030500.tiff,processed/aligned/000009_20260226_030503/mask_80c.png,1,3.0517578125e-06
000010_20260226_030504,exported,20260226_030504.tiff,2026-02-26 03:05:04,296.5,00:04:56.500,8895,raw/thermal/20260226_030504.tiff,processed/aligned/000010_20260226_030504/thermal.tiff,processed/aligned/000010_20260226_030504/thermal.png,processed/aligned/000010_20260226_030504/video.png,processed/aligned/000010_20260226_030504/overlay.png,0.30349743738770485,0.2525421142578125,0.13958740234375,primary,292.0,00:04:52,292.5,00:04:52.500,20260226_030500.tiff,processed/aligned/000010_20260226_030504/mask_80c.png,24,7.32421875e-05
